Salary,NBA_DraftNumber,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
815615,43,22,16,87,0.6,0.303,0.593,0.37,6.5,16.8,11.7,1.5,1.1,6.8,18.2,19.5,-0.4,0.1,-0.2,-0.121,-10.6,0.5,-10.1,-0.2
3477600,42,33,66,937,16.8,0.608,0.004,0.337,11,25,18.5,15.4,1.9,1.3,19.3,17.2,1.7,1.4,3.1,0.16,-0.6,1.3,0.8,0.7
12307692,19,36,59,1508,17.3,0.529,0.193,0.14,7,23.8,15,14.9,1.4,0.6,12.5,27.6,0.3,1.1,1.4,0.046,-0.6,-1.3,-1.9,0
3202217,13,22,24,656,14.6,0.499,0.346,0.301,1.4,14.4,7.7,18.6,1.8,0.5,9.7,29.5,-0.1,0.5,0.4,0.027,-0.7,-2,-2.6,-0.1
3057240,10,20,62,979,8.2,0.487,0.387,0.146,4.9,18.3,11.7,7.3,0.8,2.5,15.6,15.5,-0.4,1.2,0.8,0.038,-3.7,0.9,-2.9,-0.2
1312611,62,24,79,2238,11.5,0.543,0.489,0.141,1.3,11.3,6.1,13.3,1.4,0.3,9.1,17,1.6,1.6,3.1,0.067,-0.4,-0.5,-0.9,0.6
74159,62,30,2,7,-4.9,0,0.667,0,15.9,15.4,15.7,0,7.2,0,0,19.2,-0.1,0,0,-0.251,-12.6,-0.7,-13.3,0
46080,62,23,5,118,0.9,0.315,0.333,0.214,0,5,2.5,23.2,2.6,2.4,19.3,21.7,-0.5,0.1,-0.4,-0.169,-8.7,-1.9,-10.6,-0.3
12016854,23,30,70,2200,11.1,0.543,0.39,0.186,5,14,9.5,9.7,0.9,1.4,12,14.6,2,1,3.1,0.067,-0.4,-0.6,-1,0.5
1435750,35,23,45,430,20.6,0.592,0.075,0.555,13.6,25.2,19.3,11,1.8,2.8,15.4,21.7,0.8,0.6,1.4,0.156,-0.1,0.6,0.5,0.3
1577230,62,27,42,428,19.2,0.671,0.017,0.455,9.1,21.7,15.5,3.6,1,4.3,11.6,16.6,1,0.5,1.6,0.175,-0.8,0,-0.8,0.1
3704160,6,24,70,1943,17.1,0.523,0.017,0.32,7.2,21.7,14.1,13.5,1.9,3.1,11.3,21.6,1.3,2,3.3,0.082,-1.6,1.6,0,1
3533333,40,27,77,2530,15.9,0.557,0.409,0.221,2.9,14.2,8.6,18.5,1.6,1.6,11.8,20.5,3.9,1.7,5.6,0.106,1.4,-0.6,0.8,1.8
17884176,62,31,63,2131,11.4,0.541,0.577,0.145,1.4,9.1,5.2,12.3,1.8,0.7,10.1,17.6,1,1.7,2.7,0.061,0.2,-0.1,0.2,1.2
5881260,4,30,70,1422,9.8,0.512,0.484,0.157,2.1,14,8.1,5.3,2.5,3.6,12.6,13,-0.1,1.8,1.7,0.056,-2.2,2.5,0.3,0.8
1050000,33,23,58,902,7.6,0.464,0.205,0.215,4,11.8,7.9,7.9,1.7,1,11.6,11.8,-0.1,0.6,0.5,0.027,-4,0.4,-3.6,-0.4
1312611,62,23,35,692,11.8,0.551,0.454,0.219,2.6,6.9,4.7,16.1,1.3,0.7,15.5,22.7,0.1,0.2,0.4,0.025,-0.7,-3.2,-4,-0.3
6270000,28,30,74,1962,12.1,0.582,0.83,0.113,1.2,10.9,6.1,6,1.3,0.3,6.9,17.3,2.3,1.9,4.1,0.101,1.6,-1.7,-0.1,0.9
1874400,17,21,4,29,17,0.73,0.143,1.286,0,18.6,9.4,10.7,0,0,15.4,19.6,0.1,0,0.1,0.177,-0.6,-2.6,-3.1,0
50000,62,23,4,7,35.9,0.6,0,0,32.3,17,24.8,0,0,13.4,16.7,38.5,0,0,0,0.099,-3.1,-5.8,-9,0
8000000,5,41,55,971,10.6,0.519,0.584,0.126,1.9,14.9,8.1,9.3,2.1,2.5,10.7,14.7,0.2,0.8,1,0.051,-1.6,0.4,-1.3,0.2
21000000,2,25,72,2471,23.1,0.576,0.324,0.28,2.1,15.1,8.7,21,3.4,2,12.6,30.2,4.2,3.8,8,0.156,3.5,1.2,4.7,4.2
50000,62,25,5,45,-1.8,0.255,0.4,0.4,0,2.4,1.2,8.1,1.1,0,33.8,8.4,-0.1,0,-0.1,-0.103,-8.7,-1.4,-10.1,-0.1
2328652,62,37,14,72,1.8,0.252,0.533,0.133,4.7,10.9,7.8,9.2,0,2.4,11.2,11.2,-0.1,0.1,-0.1,-0.057,-7.2,-0.4,-7.5,-0.1
1471382,24,21,78,1404,14.1,0.574,0.372,0.247,1.3,9.4,5.3,20.9,3.2,0.4,13.9,12.7,2.3,1.1,3.4,0.116,0.8,-0.3,0.5,0.9
13000000,2,35,46,1151,14.3,0.657,0,0.503,12.2,26.9,19.4,6.6,0.7,1.9,20.5,10.6,1.9,0.8,2.6,0.11,-1.4,1,-0.4,0.5
3290000,4,28,52,1607,21.2,0.561,0.354,0.258,3.1,16.3,9.5,31.5,1.8,1,11.5,28.5,3,1.2,4.3,0.128,4.5,-0.7,3.7,2.3
1709538,17,28,62,1025,15.9,0.585,0.088,0.241,11,19.6,15.2,6.8,0.7,2.5,11.3,17,1.7,0.8,2.5,0.119,-1.3,-0.5,-1.8,0
1312611,34,22,68,1563,9.7,0.459,0.267,0.183,1.5,6.8,4.1,27.5,2,0.3,17.6,18.2,-0.8,0.5,-0.4,-0.011,-3,-2.3,-5.4,-1.3
1579440,24,21,1,2,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.016,-5.6,-0.9,-6.5,0
5881260,62,25,69,1964,13,0.55,0.46,0.186,1.8,11.5,6.6,12.3,1.4,1.4,9.4,18.6,1.9,2.2,4,0.099,-0.1,-0.2,-0.4,0.8
1524305,18,23,50,584,10.4,0.459,0.265,0.108,2.9,11.6,7.3,21.9,1.9,1.4,13.4,16.3,0,0.6,0.6,0.052,-3.1,-0.2,-3.3,-0.2
815615,41,21,53,897,9.3,0.478,0.52,0.157,2.1,13.2,7.7,13.2,0.9,0.4,8.8,20,-0.2,0.4,0.1,0.008,-2.2,-2.4,-4.6,-0.6
679919,62,23,39,518,13,0.567,0.586,0.138,9.7,17.7,13.7,7.9,0.8,0.7,8,14.8,0.9,0.3,1.2,0.109,0.5,-1.5,-1,0.1
1471382,62,23,21,307,15.2,0.544,0.349,0.275,8,14.8,11.4,7.8,3.2,1.1,13.5,20.1,0.2,0.4,0.5,0.085,-0.1,0.1,0,0.2
3408520,62,26,78,1609,10,0.585,0.798,0.112,0.8,7.7,4.2,4.6,0.7,0.3,8.3,17.2,1.5,0,1.5,0.045,0.8,-3.7,-2.8,-0.3
16400000,4,26,49,1017,13.7,0.573,0,0.349,13.3,23.6,18.5,4.2,0.8,1.4,12.2,12.5,1.7,0.7,2.4,0.115,-1.6,-0.7,-2.3,-0.1
46080,62,27,1,1,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.001,-5.7,-0.1,-5.9,0
2441400,12,22,70,1366,18,0.589,0.398,0.267,4.5,23.8,14.2,10.1,1.1,2.1,9,21.2,2.6,1.2,3.8,0.133,0.6,-1.4,-0.8,0.4
784160,9,25,32,648,22.8,0.576,0.262,0.133,2.1,8,5.1,38.1,1.5,0.5,8.8,25.9,2,0.3,2.3,0.167,5.3,-3.3,2,0.7
9125000,23,30,64,1085,14.8,0.563,0.089,0.275,10.8,18.7,14.8,11,1.2,1.5,14.1,16.5,1.5,1.2,2.7,0.12,-1.1,0.6,-0.5,0.4
7420912,43,32,64,2179,12.1,0.573,0.713,0.143,1.7,13,7.4,6.9,2.1,0.5,7,14.4,2.7,2.6,5.3,0.117,1,0.6,1.7,2
1312611,62,24,63,1050,9,0.553,0.439,0.267,4.2,8.3,6.2,7.9,1.5,0.2,9.9,11.3,1,0.7,1.7,0.079,-0.6,-0.4,-1,0.3
148318,62,27,13,172,9.8,0.562,0.719,0.14,0,18.5,9.3,3.3,0.8,1.9,6.2,15.9,0.1,0.2,0.3,0.088,-2,-1.9,-4,-0.1
9821429,20,26,71,1955,8.4,0.584,0.63,0.116,0.5,7.3,4,6.5,1.2,1.1,7.7,10.5,1.6,0.7,2.3,0.056,-0.4,-1.3,-1.7,0.2
15453126,28,35,52,1020,13.1,0.499,0.094,0.198,0.6,9.3,4.9,29,1.4,0.1,13.4,20.6,0.4,1.1,1.5,0.072,-2.1,-1.6,-3.8,-0.5
1414920,28,20,9,29,9.5,0.337,0.091,0.182,15.9,27.2,21.6,5,0,0,0,18.5,0,0,0,0.03,-6.6,-3.1,-9.7,-0.1
2116955,25,36,22,273,8.7,0.514,0.132,0.231,8.2,10.4,9.4,4.6,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,0.016,-3.9,-1.3,-5.2,-0.2
3000000,32,26,69,1535,15.4,0.618,0.265,0.27,4.7,11,7.8,25.1,1.6,0.8,16.4,13.7,3.5,1.2,4.7,0.147,1.3,-0.3,1,1.2
16000000,19,25,76,2546,17.4,0.569,0.369,0.178,2.4,15.6,8.9,11.6,1.3,1.1,7.2,23.2,4.3,2.5,6.7,0.127,1.7,-0.7,1,1.9
1386600,24,22,52,807,7,0.511,0.592,0.217,1.9,7.5,4.8,9.4,0.7,0.5,11.5,17.5,0.1,0.7,0.8,0.046,-2.3,-2.4,-4.6,-0.5
15280000,62,31,28,339,10.2,0.589,0.212,0.294,8.7,18.7,13.6,3.6,0.7,2.4,24.4,16.2,-0.1,0.3,0.2,0.026,-4.8,-0.6,-5.4,-0.3
16500000,24,25,56,1856,14.4,0.531,0.476,0.209,1.9,11.2,6.6,12.5,1.6,0.5,9,23.8,1.5,1,2.5,0.065,1.6,-1.9,-0.2,0.8
